"Title","Artist","ConstituentID","ArtistBio","Nationality","BeginDate","EndDate","Gender","Date","Medium","Dimensions","CreditLine","AccessionNumber","Classification","Department","DateAcquired","Cataloged","ObjectID","URL","ThumbnailURL","Circumference (cm)","Depth (cm)","Diameter (cm)","Height (cm)","Length (cm)","Weight (kg)","Width (cm)","Seat Height (cm)","Duration (sec.)"
"Rope and People, I","Joan MirÃ³","4016","(Spanish, 1893â€“1983)","(Spanish)","-1893","-1983","(Male)","Barcelona, March 27, 1935","Oil on cardboard mounted on wood, with coil of rope","41 1/4 x 29 3/8"" (104.8 x 74.6 cm)","Gift of the Pierre Matisse Gallery","71.1936","Painting","Painting & Sculpture","########","Y","33621","http://www.moma.org/collection/works/33621","http://www.moma.org/media/W1siZiIsIjE2MDU0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bda8976e9be36136","","","","104.8","","","74.6","",""
"Fire in the Evening","Paul Klee","3130","(German, born Switzerland. 1879â€“1940)","(German)","-1879","-1940","(Male)","1929","Oil on cardboard","13 3/8 x 13 1/4"" (33.8 x 33.3 cm)","Mr. and Mrs. Joachim Jean Aberbach Fund","153.197","Painting","Painting & Sculpture","########","Y","34854","http://www.moma.org/collection/works/34854","http://www.moma.org/media/W1siZiIsIjE3Njc2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0c57b375807d1f87","","","","33.8","","","33.3","",""
"Portrait of an Equilibrist","Paul Klee","3130","(German, born Switzerland. 1879â€“1940)","(German)","-1879","-1940","(Male)","1927","Oil and collage on cardboard over wood with painted plaster border","24 7/8 x 15 3/4"" (63.2 x 40 cm)","Mrs. Simon Guggenheim Fund","195.1966","Painting","Painting & Sculpture","########","Y","35209","http://www.moma.org/collection/works/35209","http://www.moma.org/media/W1siZiIsIjE3OTI4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=580fa5bb76eff44f","","","","60.3","","","36.8","",""
"Guitar","Pablo Picasso","4609","(Spanish, 1881â€“1973)","(Spanish)","-1881","-1973","(Male)","Paris, early 1919","Oil, charcoal and pinned paper on canvas","7' 1"" x 31"" (216 x 78.8 cm)","Gift of A. Conger Goodyear","384.1955","Painting","Painting & Sculpture","########","Y","36613","http://www.moma.org/collection/works/36613","http://www.moma.org/media/W1siZiIsIjUxNjY3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dba4757e2ea3cf89","","","","215.9","","","78.7","",""
"Grandmother","Arthur Dove","1602","(American, 1880â€“1946)","(American)","-1880","-1946","(Male)","1925","Shingles, needlepoint, page from Concordance, pressed flowers and ferns mounted on cloth-covered wood","20 x 21 1/4"" (50.8 x 54.0 cm)","Gift of Philip L. Goodwin (by exchange)","636.1939","Painting","Painting & Sculpture","########","Y","37674","http://www.moma.org/collection/works/37674","http://www.moma.org/media/W1siZiIsIjI0NzA5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=093d454bd551973d","","","","50.8","","","54","",""
"""M'Amenez-y""","Francis Picabia","4607","(French, 1879â€“1953)","(French)","-1879","-1953","(Male)","Paris, November 1919 - January 1920","Oil and enamel paint on cardboard","50 3/4 x 35 3/8"" (129.2 x 89.8 cm)","Helena Rubinstein Fund","1309.197","Painting","Painting & Sculpture","########","Y","38561","http://www.moma.org/collection/works/38561","http://www.moma.org/media/W1siZiIsIjMzNjY1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f29d885c0b373bbd","","","","129.2","","","89.9","",""
"Untitled","Blinky Palermo","4474","(German, 1943â€“1977)","(German)","-1943","-1977","(Male)","1970","Dyed cotton mounted on muslin","6' 6 3/4"" x 6' 6 3/4"" (200 x 200 cm)","Gift of Jo Carole and Ronald S. Lauder","650.1997","Painting","Painting & Sculpture","########","Y","78283","http://www.moma.org/collection/works/78283","http://www.moma.org/media/W1siZiIsIjE1MTQ0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=183105a88622f704","","","","200","","","200","",""
"Daylight Savings Time","Pierre Roy","5065","(French, 1880â€“1950)","(French)","-1880","-1950","(Male)","1929","Oil on canvas","21 1/2 x 15"" (54.6 x 38.1 cm)","Gift of Mrs. Ray Slater Murphy","1.1931","Painting","Painting & Sculpture","########","Y","78294","http://www.moma.org/collection/works/78294","http://www.moma.org/media/W1siZiIsIjIzMzkzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=96820bf47e072d6c","","","","54.6","","","38.1","",""
"The Bather","Paul CÃ©zanne","1053","(French, 1839â€“1906)","(French)","-1839","-1906","(Male)","c. 1885","Oil on canvas","50 x 38 1/8"" (127 x 96.8 cm)","Lillie P. Bliss Collection. Conservation was made possible by the Bank of America Art Conservation Project","1.1934","Painting","Painting & Sculpture","########","Y","78296","http://www.moma.org/collection/works/78296","http://www.moma.org/media/W1siZiIsIjQ0NjA2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9242de31ff2c065c","","","","127","","","96.8","",""
"Syntheses of Naples","Enrico Prampolini","4720","(Italian, 1894â€“1956)","(Italian)","-1894","-1956","(Male)","before 1930","Oil on canvas","39 3/8 x 39 1/2"" (100 x 100.3 cm)","Gift of Dr. Julius Spitzer","1.1942","Painting","Painting & Sculpture","########","Y","78299","http://www.moma.org/collection/works/78299","http://www.moma.org/media/W1siZiIsIjE4NjgzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bccf9bc277ee280e","","","","100","","","100.3","",""
"Two Rabbis","Jankel Adler","70","(Polish, 1895â€“1949)","(Polish)","-1895","-1949","(Male)","1942","Oil on canvas","33 7/8 x 44 1/8"" (86 x 112.1 cm)","Gift of Sam Salz","1.1949","Painting","Painting & Sculpture","########","Y","78301","http://www.moma.org/collection/works/78301","http://www.moma.org/media/W1siZiIsIjE2MTM0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4cde4921780ac1fc","","","","86","","","112.1","",""
"Simultaneous Contrasts: Sun and Moon","Robert Delaunay","1479","(French, 1885â€“1941)","(French)","-1885","-1941","(Male)","Paris 1913 (dated on painting 1912)","Oil on canvas","53"" (134.5 cm) in diameter","Mrs. Simon Guggenheim Fund","1.1954","Painting","Painting & Sculpture","########","Y","78302","http://www.moma.org/collection/works/78302","http://www.moma.org/media/W1siZiIsIjExMDgxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b75aeb161ef42c53","","","134.6","","","","","",""
"The Flame and the Diver","Jean Bazaine","404","(French, 1904â€“2001)","(French)","-1904","-2001","(Male)","1953","Oil on canvas","76 3/4 x 51"" (194.9 x 129.5 cm)","Given anonymously","1.1957","Painting","Painting & Sculpture","########","Y","78303","http://www.moma.org/collection/works/78303","","","","","194.9","","","129.5","",""
"Girl Wading","Elmer Bischoff","567","(American, 1916â€“1991)","(American)","-1916","-1991","(Male)","1959","Oil on canvas","6' 10 5/8"" x 67 3/4"" (209.8 x 172 cm)","Blanchette Hooker Rockefeller Fund","1.196","Painting","Painting & Sculpture","########","Y","78305","http://www.moma.org/collection/works/78305","http://www.moma.org/media/W1siZiIsIjIwNzk3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=eab3905720a78afc","","","","209.8","","","172","",""
"Painting, 4","Vasudeo S. Gaitonde","2051","(Indian, 1924â€“2001)","(Indian)","-1924","-2001","(Male)","1962","Oil on canvas","40 x 49 7/8"" (101.6 x 126.6 cm)","Gift of Mrs. Joseph James Akston","1.1963","Painting","Painting & Sculpture","########","Y","78306","http://www.moma.org/collection/works/78306","http://www.moma.org/media/W1siZiIsIjE3MjEyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d62271767526c97a","","","","101.6","","","126.6","",""
"The Voice","Barnett Newman","4285","(American, 1905â€“1970)","(American)","-1905","-1970","(Male)","1950","Egg tempera and enamel on canvas","8' 1/8"" x 8' 9 1/2"" (244.1 x 268 cm)","The Sidney and Harriet Janis Collection","1.1968","Painting","Painting & Sculpture","########","Y","78308","http://www.moma.org/collection/works/78308","http://www.moma.org/media/W1siZiIsIjIwMjM3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=67296c15ee0c9e2d","","","","244.1","","","268","",""
"Plums on a Plate","Preston Dickinson","1537","(American, 1889â€“1930)","(American)","-1889","-1930","(Male)","1926","Oil on canvas","14 x 20"" (35.6 x 50.8 cm)","Gift of Abby Aldrich Rockefeller","2.1931","Painting","Painting & Sculpture","########","Y","78309","http://www.moma.org/collection/works/78309","http://www.moma.org/media/W1siZiIsIjE2NjgyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=384babfc95bc9b5c","","","","35.6","","","50.8","",""
"Composition in White, Black, and Red","Piet Mondrian","4057","(Dutch, 1872â€“1944)","(Dutch)","-1872","-1944","(Male)","Paris 1936","Oil on canvas","40 1/4 x 41"" (102.2 x 104.1 cm)","Gift of the Advisory Committee","2.1937","Painting","Painting & Sculpture","########","Y","78310","http://www.moma.org/collection/works/78310","http://www.moma.org/media/W1siZiIsIjI2NTc5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1c59ad71c8df221b","","","","102.2","","","104.1","",""
"Girl before a Mirror","Pablo Picasso","4609","(Spanish, 1881â€“1973)","(Spanish)","-1881","-1973","(Male)","Paris, March 14, 1932","Oil on canvas","64 x 51 1/4"" (162.3 x 130.2 cm)","Gift of Mrs. Simon Guggenheim","2.1938","Painting","Painting & Sculpture","########","Y","78311","http://www.moma.org/collection/works/78311","http://www.moma.org/media/W1siZiIsIjIwMzk0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9ff5016f6835651d","","","","162.3","","","130.2","",""
"Transparency","James Edward Davis","1408","(American, 1901â€“1974)","(American)","-1901","-1974","(Male)","1944","Pigment on cellulose acetate on plywood panel, two sheets","Each 14 x 20 1/8"" (35.6 x 51.1 cm), plywood panel 20 x 30"" (50.8 x 76.2 cm)","Purchase","2.1945","Painting","Painting & Sculpture","########","Y","78313","http://www.moma.org/collection/works/78313","http://www.moma.org/media/W1siZiIsIjUxNzQ2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9a9907c8f1db8ca7","","","","35.6","","","51.1","",""
"Woman with a Mandolin","Georges Braque","744","(French, 1882â€“1963)","(French)","-1882","-1963","(Male)","1937","Oil on canvas","51 1/4 x 38 1/4"" (130.2 x 97.2 cm)","Mrs. Simon Guggenheim Fund","2.1948","Painting","Painting & Sculpture","########","Y","78315","http://www.moma.org/collection/works/78315","http://www.moma.org/media/W1siZiIsIjE1MTI0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c368c9e44c2e6784","","","","130.2","","","97.2","",""
"The Fitting","Francisco BorÃ¨s","678","(Spanish, 1898â€“1972)","(Spanish)","-1898","-1972","(Male)","1934","Oil on canvas","6' 3/4"" x 7' 2 3/4"" (184.8 x 220.4 cm)","Purchase","2.1949","Painting","Painting & Sculpture","########","Y","78316","http://www.moma.org/collection/works/78316","http://www.moma.org/media/W1siZiIsIjIwNzk3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0f45141bf26c6a9b","","","","184.8","","","220.4","",""
"Murder in the Jungle","Wilson Bigaud","557","(Haitian, 1931â€“2010)","(Haitian)","-1931","-2010","(Male)","1950","Oil on board","23 7/8 x 29 3/4"" (60.6 x 75.6 cm)","Inter-American Fund","2.1951","Painting","Painting & Sculpture","########","Y","78318","http://www.moma.org/collection/works/78318","http://www.moma.org/media/W1siZiIsIjIzNjY2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=92da08ead8da59db","","","","60.6","","","75.6","",""
"Chief","Franz Kline","3148","(American, 1910â€“1962)","(American)","-1910","-1962","(Male)","1950","Oil on canvas","58 3/8"" x 6' 1 1/2"" (148.3 x 186.7 cm)","Gift of Mr. and Mrs. David M. Solinger","2.1952","Painting","Painting & Sculpture","########","Y","78319","http://www.moma.org/collection/works/78319","http://www.moma.org/media/W1siZiIsIjIwMzQyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=24813d7f76f31de8","","","","148.3","","","186.7","",""
"Panel for Edwin R. Campbell No. 3","Vasily Kandinsky","2981","(French, born Russia. 1866â€“1944)","(French)","-1866","-1944","(Male)","1914","Oil on canvas","64 x 36 1/4"" (162.5 x 92.1 cm)","Mrs. Simon Guggenheim Fund","2.1954","Painting","Painting & Sculpture","########","Y","78320","http://www.moma.org/collection/works/78320","http://www.moma.org/media/W1siZiIsIjI0MTQxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e5d6a3b204dc13bd","","","","162.5","","","92.1","",""
"Delight","Hans Hofmann","2698","(American, born Germany. 1880â€“1966)","(American)","-1880","-1966","(Male)","1947","Gesso and oil on canvas","50 x 40"" (126.9 x 101.6 cm)","Gift of Mr. and Mrs. Theodore S. Gary","2.1956","Painting","Painting & Sculpture","########","Y","78322","http://www.moma.org/collection/works/78322","http://www.moma.org/media/W1siZiIsIjE1NzQ2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5ac842c93d403a85","","","","126.9","","","101.6","",""
"Portrait of Meijer de Haan","Paul Gauguin","2098","(French, 1848â€“1903)","(French)","-1848","-1903","(Male)","1889","Oil on wood","31 3/8 x 20 3/8"" (79.6 x 51.7 cm)","Gift of Mr. and Mrs. David Rockefeller","2.1958","Painting","Painting & Sculpture","########","Y","78323","http://www.moma.org/collection/works/78323","http://www.moma.org/media/W1siZiIsIjE1MTI0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ece0cc1cf4af0e15","","","","79.6","","","51.7","",""
"Nell and Jeremy Sandford","John Randall Bratby","746","(British, 1928â€“1992)","(British)","-1928","-1992","(Male)","June 13-27, 1957","Oil on board","6' 5 7/8"" x 7' 8 1/8"" (197.7 x 234 cm)","Gift of Mr. and Mrs. Robert W. Dowling","2.1959","Painting","Painting & Sculpture","########","Y","78324","http://www.moma.org/collection/works/78324","","","","","197.7","","","234","",""
"Plumb Line in Yellow","Jean McEwen","3880","(Canadian, 1923â€“1999)","(Canadian)","-1923","-1999","(Male)","September 9, 1961","Oil on canvas","60 1/4 x 60 1/8"" (152.8 x 152.7 cm)","Gift of Mr. and Mrs. Samuel J. Zacks","2.1962","Painting","Painting & Sculpture","########","Y","78325","http://www.moma.org/collection/works/78325","http://www.moma.org/media/W1siZiIsIjQ3NjkwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=133c529cf0caab65","","","","152.8","","","152.7","",""
"Woman in Striped Dress","James Francis Gill","2159","(American, born 1934)","(American)","-1934","0","(Male)","1962","Color crayon on gesso on board","40 x 30"" (101.4 x 76.2 cm)","Larry Aldrich Foundation Fund","2.1963","Painting","Painting & Sculpture","########","Y","78326","http://www.moma.org/collection/works/78326","http://www.moma.org/media/W1siZiIsIjE3NjcyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1791231466bd1719","","","","101.4","","","76.2","",""
"Small Figure on Blue","Michael Gross","2365","(Israeli, 1920â€“2004)","(Israeli)","-1920","-2004","(Male)","1964","Casein on board","19 3/4 x 15 7/8"" (50.1 x 40.3 cm)","Gift of Mr. and Mrs. George M. Jaffin","2.1965","Painting","Painting & Sculpture","########","Y","78327","http://www.moma.org/collection/works/78327","http://www.moma.org/media/W1siZiIsIjE3Nzc1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cad11d18bfb6ad7c","","","","50.1","","","40.3","",""
"Red and Blue","Check  Boterf","692","(American, born 1934)","(American)","-1934","0","(Male)","1968","Synthetic polymer paint on shaped canvas, in three parts","7' 3"" x 46 1/2"" x 38 1/8"" (220.9 x 118 x 96.8 cm)","Gift of the Tibor de Nagy Gallery","2.1969.a-c","Painting","Painting & Sculpture","########","Y","78328","http://www.moma.org/collection/works/78328","","","96.8","","220.9","","","118","",""
"White #19","Glenn Ligon","6902","(American, born 1960)","(American)","-1960","0","(Male)","1994","Oilstick, gesso, and acrylic on canvas mounted on wood","7' x 60"" (213.3 x 152.4 cm)","Committee on Painting and Sculpture Funds","2.1996","Painting","Painting & Sculpture","########","Y","78329","http://www.moma.org/collection/works/78329","http://www.moma.org/media/W1siZiIsIjQ2Njg3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d9e22de58764180d","","","","213.4","","","152.4","",""
"House by the Railroad","Edward Hopper","2726","(American, 1882â€“1967)","(American)","-1882","-1967","(Male)","1925","Oil on canvas","24 x 29"" (61 x 73.7 cm)","Given anonymously","3.193","Painting","Painting & Sculpture","########","Y","78330","http://www.moma.org/collection/works/78330","http://www.moma.org/media/W1siZiIsIjQ2ODQxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=389bd06c24ea3a96","","","","61","","","73.7","",""
"Dr. Mayer-Hermann","Otto Dix","1559","(German, 1891â€“1969)","(German)","-1891","-1969","(Male)","Berlin 1926","Oil and tempera on wood","58 3/4 x 39"" (149.2 x 99.1 cm)","Gift of Philip Johnson","3.1932","Painting","Painting & Sculpture","########","Y","78331","http://www.moma.org/collection/works/78331","http://www.moma.org/media/W1siZiIsIjE1MTMxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7aac6dfb4fb66e06","","","","149.2","","","99.0602","",""
"Near Avenue A","Niles Spencer","5561","(American, 1893â€“1952)","(American)","-1893","-1952","(Male)","1933","Oil on canvas","30 1/4 x 40 1/4"" (76.8 x 102.2 cm)","Gift of Nelson A. Rockefeller","3.1938","Painting","Painting & Sculpture","########","Y","78332","http://www.moma.org/collection/works/78332","http://www.moma.org/media/W1siZiIsIjE1MTMxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d3e82901a98c91fa","","","","76.8","","","102.2","",""
"Self-Portrait with Cropped Hair","Frida Kahlo","2963","(Mexican, 1907â€“1954)","(Mexican)","-1907","-1954","(Female)","1940","Oil on canvas","15 3/4 x 11"" (40 x 27.9 cm)","Gift of Edgar Kaufmann, Jr.","3.1943","Painting","Painting & Sculpture","########","Y","78333","http://www.moma.org/collection/works/78333","http://www.moma.org/media/W1siZiIsIjQ5NDA4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1c7fea001c5b38e7","","","","40","","","27.9","",""
"Panel for Edwin R. Campbell No. 1","Vasily Kandinsky","2981","(French, born Russia. 1866â€“1944)","(French)","-1866","-1944","(Male)","1914","Oil on canvas","64 x 31 1/2"" (162.5 x 80 cm)","Mrs. Simon Guggenheim Fund","3.1954","Painting","Painting & Sculpture","########","Y","78335","http://www.moma.org/collection/works/78335","http://www.moma.org/media/W1siZiIsIjI0MTQxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c2606e752a927bf8","","","","162.5","","","80","",""
"SUM, 2","Alfonso Ossorio","4441","(American, born The Philippines. 1916â€“1990)","(American)","-1916","-1990","(Male)","1959","Synthetic resin with nails, coins, steel wool, tooth, rope, screw eyes, shells, belt, key, and hinges on board","7' 11 3/4"" x 48"" (243.2 x 121.8 cm)","Given anonymously","3.1962","Painting","Painting & Sculpture","########","Y","78338","http://www.moma.org/collection/works/78338","","","","","243.2","","","121.8","",""
"Poltergeist","Charles Hinman","2658","(American, born 1932)","(American)","-1932","0","(Male)","1964","Synthetic polymer paint on shaped canvas over wood framework","8' 2 3/4"" x 61 7/8"" x 16 3/8"" (250.7 x 156.9 x 41.5 cm)","Larry Aldrich Foundation Fund","3.1965","Painting","Painting & Sculpture","########","Y","78339","http://www.moma.org/collection/works/78339","http://www.moma.org/media/W1siZiIsIjIwOTk4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=68a0eebec1c364c0","","41.5","","250.7","","","156.9","",""
"Generative Painting: Black, Red, Orange","Eduardo A. MacEntyre","3664","(Argentine, 1929â€“2014)","(Argentine)","-1929","-2014","(Male)","1965","Oil on canvas","64 3/4 x 59"" (164.9 x 150.4 cm)","Inter-American Fund","3.1967","Painting","Painting & Sculpture","########","Y","78340","http://www.moma.org/collection/works/78340","http://www.moma.org/media/W1siZiIsIjE4MjE5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=41684124a82fb7cf","","","","164.9","","","150.4","",""
"Doorstop","James Rosenquist","5021","(American, 1933â€“2017)","(American)","-1933","-2017","(Male)","1963","Oil on canvas with light bulbs","60 1/8"" x 6' 11 7/8"" x 16 3/4""  (152.6 x 213 x 42.5 cm)","Mrs. Armand P. Bartos Fund (by exchange) and gift of Agnes Gund","3.1996","Painting","Painting & Sculpture","########","Y","78342","http://www.moma.org/collection/works/78342","http://www.moma.org/media/W1siZiIsIjIyNjYzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8181d214ba529468","","42.5","","152.7","","","213","",""
"Proletarian Victim","David Alfaro Siqueiros","5454","(Mexican, 1896â€“1974)","(Mexican)","-1896","-1974","(Male)","1933","Enamel on burlap","6' 9"" x 47 1/2"" (205.8 x 120.6 cm)","Gift of the Estate of George Gershwin","4.1938","Painting","Painting & Sculpture","########","Y","78345","http://www.moma.org/collection/works/78345","http://www.moma.org/media/W1siZiIsIjE2NTgyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bc52420e59af13df","","","","205.8","","","120.6","",""
"Green-Gray Goblet","Emilio Pettoruti","4588","(Argentine, 1892â€“1971)","(Argentine)","-1892","-1971","(Male)","1934","Oil on canvas","21 5/8 x 18 1/8"" (54.9 x 46 cm)","Inter-American Fund","4.1943","Painting","Painting & Sculpture","########","Y","78346","http://www.moma.org/collection/works/78346","http://www.moma.org/media/W1siZiIsIjE2MDUzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=679c4a7c6f8a5a88","","","","54.9","","","46","",""
"Red Votive Lights","Loren MacIver","3668","(American, 1909â€“1998)","(American)","-1909","-1998","(Female)","1943","Oil on wood","20 x 25 5/8"" (50.8 x 65.1 cm)","James Thrall Soby Fund","4.1945","Painting","Painting & Sculpture","########","Y","78347","http://www.moma.org/collection/works/78347","http://www.moma.org/media/W1siZiIsIjUxNzUyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2c305ae99ffb73fc","","","","50.8","","","65.1","",""
"I See Again in Memory My Dear Udnie","Francis Picabia","4607","(French, 1879â€“1953)","(French)","-1879","-1953","(Male)","Paris, June - July 1914","Oil on canvas","8' 2 1/2"" x 6' 6 1/4"" (250.2 x 198.8 cm)","Hillman Periodicals Fund","4.1954","Painting","Painting & Sculpture","########","Y","78348","http://www.moma.org/collection/works/78348","http://www.moma.org/media/W1siZiIsIjI0MzI0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0b7e16a7b09256aa","","","","250.2","","","198.8","",""
"Number 5-58","Nassos Daphnis","1385","(American, born Greece. 1914â€“2010)","(American)","-1914","-2010","(Male)","1958","Synthetic polymer paint on canvas","64 1/8 x 43"" (162.7 x 109.2 cm)","Blanchette Hooker Rockefeller Fund","4.1959","Painting","Painting & Sculpture","########","Y","78349","http://www.moma.org/collection/works/78349","http://www.moma.org/media/W1siZiIsIjIxNjg3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=07246370c27468b0","","","","162.7","","","109.2","",""
"Divided Hour","Antonio Corpora","1254","(Italian, born Tunis. 1909â€“2004)","(Italian)","-1909","-2004","(Male)","1958","Oil on canvas","57 1/2 x 44 7/8"" (145.9 x 113.8 cm)","Given anonymously","4.196","Painting","Painting & Sculpture","########","Y","78350","http://www.moma.org/collection/works/78350","","","","","145.9","","","113.8","",""
"Edge of August","Mark Tobey","5889","(American, 1890â€“1976)","(American)","-1890","-1976","(Male)","1953","Casein on board","48 x 28"" (121.9 x 71.1 cm)","Purchase","5.1954","Painting","Painting & Sculpture","########","Y","78357","http://www.moma.org/collection/works/78357","http://www.moma.org/media/W1siZiIsIjE1MTQwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3a9a9c36e4d523ca","","","","121.9","","","71.1","",""
"Enamored Tomcat","Leonardo Cremonini","1303","(Italian, 1925â€“2010)","(Italian)","-1925","-2010","(Male)","1952","Oil on canvas","23 1/8 x 17 3/4"" (58.7 x 45.1 cm)","Purchase","5.1955","Painting","Painting & Sculpture","########","Y","78358","http://www.moma.org/collection/works/78358","http://www.moma.org/media/W1siZiIsIjIyNTE1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d842be68918e5034","","","","58.7","","","45.1","",""
"Big Red","Sam Francis","1965","(American, 1923â€“1994)","(American)","-1923","-1994","(Male)","Paris 1953","Oil on canvas","10' x 6' 4 1/4"" (303.2 x 194 cm)","Gift of Mr. and Mrs. David Rockefeller","5.1958","Painting","Painting & Sculpture","########","Y","78360","http://www.moma.org/collection/works/78360","http://www.moma.org/media/W1siZiIsIjE1MTQwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=69d0327e114d1ccc","","","","303.2","","","194","",""
