"Title","Artist","ConstituentID","ArtistBio","Nationality","BeginDate","EndDate","Gender","Date","Medium","Dimensions","CreditLine","AccessionNumber","Classification","Department","DateAcquired","Cataloged","ObjectID","URL","ThumbnailURL","Circumference (cm)","Depth (cm)","Diameter (cm)","Height (cm)","Length (cm)","Weight (kg)","Width (cm)","Seat Height (cm)","Duration (sec.)"
"Intersection II","Richard Serra","5349","(American, born 1938)","(American)","-1938","0","(Male)","1992-93","Weatherproof steel, four identical conical sections","Two sections 13' 1 1/2"" (400 cm) high x 51' 9"" (1570 cm) along the chord x 2 1/8"" (5.4 cm) thick","Gift of Jo Carole and Ronald S. Lauder","503.1998.a-d","Sculpture","Painting & Sculpture","########","Y","81514","http://www.moma.org/collection/works/81514","http://www.moma.org/media/W1siZiIsIjEwMjY2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7be09be5b699a6d1","","5.1","","400","","27095.62","1700.2","",""
"(Untitled)","Robert Morris","4108","(American, 1931â€“2018)","(American)","-1931","-2018","(Male)","1968","Felt, asphalt, mirrors, wood, copper tubing, steel cable, and lead","Dimensions variable, approximately 21 1/2"" x 21' 11"" x 16' 9"" (54.6 x 668 x 510.5 cm)","Gift of Philip Johnson","504.1984","Sculpture","Painting & Sculpture","########","Y","81515","http://www.moma.org/collection/works/81515","http://www.moma.org/media/W1siZiIsIjI4MTIxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e7d348ed07f034bf","","510.5","","54.6","","","668","",""
"Self-Portrait","Max Beckmann","429","(German, 1884â€“1950)","(German)","-1884","-1950","(Male)","1936 (cast 1951)","Bronze","14 1/2 x 11 1/4 x 13"" (36.8 x 28.6 x 33 cm)","Gift of Curt Valentin","506.1951","Sculpture","Painting & Sculpture","########","Y","81517","http://www.moma.org/collection/works/81517","http://www.moma.org/media/W1siZiIsIjIwOTAyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=24db0a78a2b324ad","","33","","36.8","","","28.6","",""
"Two Lines -- Temporal I","George Rickey","4912","(American, 1907â€“2002)","(American)","-1907","-2002","(Male)","1964","Stainless steel","35' 4 5/8"" (1079 cm) high","Mrs. Simon Guggenheim Fund","506.1965.a-c","Sculpture","Painting & Sculpture","########","Y","81518","http://www.moma.org/collection/works/81518","http://www.moma.org/media/W1siZiIsIjIwOTAyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=08415f5a59023b46","","","","1078.5","","225.9","","",""
"Stratification 44 D, II","Thomas Lenk","3482","(German, 1933â€“2014)","(German)","-1933","-2014","(Male)","1969","Plexiglass disks","32 1/4 x 12 1/4 x 13 1/2"" (81.9 x 31.1 x 34.1 cm)","Gertrud A. Mellon Fund (by exchange)","506.1969","Sculpture","Painting & Sculpture","########","Y","81519","http://www.moma.org/collection/works/81519","","","34.1","","81.9","","8.1647","31.1","",""
"First Gate Ritual Series 10/78","Michael Singer","5446","(American, born 1945)","(American)","-1945","0","(Male)","1978","Wood, stones, phragmites and plaster of Paris","10' 10"" x 16' 1"" x 13' 6"" (330.3 x 490.3 x 411.5 cm)","Betsy Babcock Fund","506.1984","Sculpture","Painting & Sculpture","########","Y","81520","http://www.moma.org/collection/works/81520","","","411.5","","330.3","","","490.3","",""
"Imprisoned Figure","Seymour Lipton","3567","(American, 1903â€“1986)","(American)","-1903","-1986","(Male)","1948","Wood and sheet lead","7' 3/4"" x 30 7/8"" x 23 5/8"" (215.2 x 78.3 x 59.9 cm)","Gift of the artist","507.1969","Sculpture","Painting & Sculpture","########","Y","81521","http://www.moma.org/collection/works/81521","http://www.moma.org/media/W1siZiIsIjIyOTkyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=84d8ceb20e15a891","","60","","215.3","","","78.4","",""
"Mother and Child, II","Jacques Lipchitz","3563","(American, born Lithuania. 1891â€“1973)","(American)","-1891","-1973","(Male)","1941-45","Bronze","50 x 51 x 32 1/2"" (127 x 129.5 x 82.5 cm)","Mrs. Simon Guggenheim Fund (by exchange)","508.1951","Sculpture","Painting & Sculpture","########","Y","81522","http://www.moma.org/collection/works/81522","http://www.moma.org/media/W1siZiIsIjE0MDYwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5ed33ed5e3f2aa9b","","82.5","","127","","234.2829","129.5","",""
"Untitled","Craig Kauffman","3021","(American, 1932â€“2010)","(American)","-1932","-2010","(Male)","1968","Molded plexiglass, painted","43"" x 7' 5 1/8"" x 16 1/4"" (109.1 x 226.2 x 41.2 cm)","Given anonymously","508.1969","Sculpture","Painting & Sculpture","########","Y","81523","http://www.moma.org/collection/works/81523","http://www.moma.org/media/W1siZiIsIjIwOTAzMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=eb6d5e70e391b5fa","","41.2","","109.1","","","226.2","",""
"Man with a Guitar","Jacques Lipchitz","3563","(American, born Lithuania. 1891â€“1973)","(American)","-1891","-1973","(Male)","1915","Limestone","38 1/4 x 10 1/2 x 7 3/4"" (97.2 x 26.7 x 19.5 cm)","Mrs. Simon Guggenheim Fund (by exchange)","509.1951","Sculpture","Painting & Sculpture","########","Y","81524","http://www.moma.org/collection/works/81524","http://www.moma.org/media/W1siZiIsIjUxNzgwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=aca30fe9f6f9ac16","","19.5","","97.2","","","26.7","",""
"Construction of Volume Relations","Georges Vantongerloo","6091","(Belgian, 1886â€“1965)","(Belgian)","-1886","-1965","(Male)","1921","Mahogany","16 1/8 x 5 5/8 x 5 3/4"" (41 x 14.4 x 14.5 cm)
","Gift of Silvia Pizitz","509.1953","Sculpture","Painting & Sculpture","########","Y","81525","http://www.moma.org/collection/works/81525","http://www.moma.org/media/W1siZiIsIjI0MjU5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=64d2a235c15a7a68","","14.6","","41","","","14.3","",""
"Segments","Menashe Kadishman","2961","(Israeli, 1932â€“2015)","(Israeli)","-1932","-2015","(Male)","1969","Painted aluminum on glass sheet, in five sections","62 1/4"" x 14' 4 1/4"" x 12"" (158 x 437.4 x 30.5 cm)","Gift of Mr. and Mrs. George M. Jaffin","509.1970.a-f","Sculpture","Painting & Sculpture","########","Y","81526","http://www.moma.org/collection/works/81526","","","30.5","","158","","161.4805","437.4","",""
"GiufÃ , la luna, i ladri e le guardie","Frank Stella","5640","(American, born 1936)","(American)","-1936","0","(Male)","1984","Synthetic polymer paint, oil, urethane enamel, fluorescent alkyd, and printing ink on canvas, and etched magnesium, aluminum, and fiberglass","9' 7 1/4"" x 16' 3 1/4"" x 24"" (293.3 x 491.1 x 61 cm)","Acquired through the James Thrall Soby Bequest","509.1984","Sculpture","Painting & Sculpture","########","Y","81527","http://www.moma.org/collection/works/81527","http://www.moma.org/media/W1siZiIsIjE2NTgyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e91d2ca2e3f8239c","","61","","293.3","","","491.1","",""
"Ladderpiece","Mark di Suvero","5743","(American, born China. 1933)","(American)","-1933","0","(Male)","1961-62","Wood and steel","6' 2 1/2"" x 15' 3"" x 10' 10"" (189 x 465 x 300 cm)","Gift of Philip Johnson","510.1984","Sculpture","Painting & Sculpture","########","Y","81528","http://www.moma.org/collection/works/81528","http://www.moma.org/media/W1siZiIsIjIwOTAzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9217d021789f542d","","300","","189","","","465","",""
"Art and Culture","John Latham","3404","(British, 1921â€“2006)","(British)","-1921","-2006","(Male)","1966-69","Leather case containing book, letters, photostats, and labeled vials filled with soot and burned paper","3 1/8 x 11 1/8 x 10"" (7.9 x 28.2 x 25.3 cm)","Blanchette Hooker Rockefeller Fund","511.1970.a-t","Sculpture","Painting & Sculpture","########","Y","81529","http://www.moma.org/collection/works/81529","http://www.moma.org/media/W1siZiIsIjE3MTMwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8cec8706b4ba844b","","25.3","","7.9","","2.0412","28.2","",""
"Snow","Dieter Roth","5042","(Swiss, born Germany. 1930â€“1998)","(Swiss)","-1930","-1998","(Male)","1964/69","Book of mixed mediums with wood table and chairs","Book (closed) 4 x 18 x 20"" (10.2 x 45.7 x 50.8 cm) (irregular), collages, each 20 x 18"" (50.8 x 45.7 cm), commode 22 5/8 x 58 3/4 x 25 7/8"" (57 x 149 x 65.8 cm), chairs, each 24 1/8 x 17 3/4 x 18 1/2"" (61 x 45.1 x 47 cm)","Committee on Painting and Sculpture Funds","511.1998.a-d","Sculpture","Painting & Sculpture","########","Y","81530","http://www.moma.org/collection/works/81530","","","66","","82.5","","","149.9","",""
"India Curve","Alain Kirili","3116","(French, 1946â€“2021)","(French)","-1946","-2021","(Male)","1978","Steel and terra cotta","8' 7"" x 8' 4"" x 7"" (261.6 x 254 x 17.8 cm)","Charles Mergentime Fund","514.1978","Sculpture","Painting & Sculpture","########","Y","81531","http://www.moma.org/collection/works/81531","","","17.8","","261.6","","","254","",""
"Serial Project, I (ABCD)","Sol LeWitt","3528","(American, 1928â€“2007)","(American)","-1928","-2007","(Male)","1966","Baked enamel on steel units over baked enamel on aluminum","20"" x 13' 7"" x 13' 7"" (50.8 x 398.9 x 398.9 cm)","Gift of Agnes Gund and purchase (by exchange)","515.1978.a-ssss","Sculpture","Painting & Sculpture","########","Y","81533","http://www.moma.org/collection/works/81533","http://www.moma.org/media/W1siZiIsIjIxMTU5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a83b50ab9fefa1f6","","414","","50.8","","","414","",""
"Untitled","Bruce Nauman","4243","(American, born 1941)","(American)","-1941","0","(Male)","1965","Fiberglass, polyester resin, and light","8' 4"" x 20"" x 21"" (254 x 50.3 x 53.3 cm)","Gift of Joseph Helman","516.1978","Sculpture","Painting & Sculpture","########","Y","81534","http://www.moma.org/collection/works/81534","http://www.moma.org/media/W1siZiIsIjUyMDM4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3d43a40127acc5cc","","53.3","","254","","","50.3","",""
